Address,Cars,Bluecar counter,Utilib counter,Utilib 1.4 counter,City,Kind,Postal code,Public name,Station type,Status,year,month,day,hour,minute
40 Avenue de la Grande ArmÃ©e,1,1,0,0,Paris,STATION,75017,Paris/Grande ArmÃ©e/40,station,ok,2018,4,7,7,23
90 boulevard National,0,0,0,0,La Garenne-Colombes,STATION,92250,La Garenne-Colombes/National/90,station,ok,2018,4,3,20,16
17 Rue Ãmile Zola,1,1,0,0,AsniÃ¨res-sur-Seine,STATION,92600,AsniÃ¨res-sur-Seine/Ãmile Zola/17,station,ok,2018,4,5,14,1
189 Rue de Tolbiac,4,4,0,0,Paris,STATION,75013,Paris/Tolbiac/189,station,ok,2018,4,3,0,7
26 avenue Trudaine,0,0,0,0,Paris,SPACE,75009,Paris/Trudaine/26,full_station,ok,2018,4,8,17,50
98 Boulevard de Vanves,0,0,0,0,ChÃ¢tillon,STATION,92320,ChÃ¢tillon/Vanves/98,station,ok,2018,4,9,11,20
271 Boulevard Pereire,2,2,0,0,Paris,STATION,75017,Paris/Pereire/271,station,ok,2018,4,5,2,14
8 avenue MÃ©nelotte,5,5,0,0,Colombes,STATION,92700,Colombes/MÃ©nelotte/8,station,ok,2018,4,4,0,56
68 avenue Mozart,5,5,0,0,Paris,STATION,75016,Paris/Mozart/68,station,ok,2018,4,6,6,49
41 Boulevard Bourdon,2,2,0,0,Paris,SPACE,75004,Paris/Bourdon/41,full_station,ok,2018,4,3,16,26
44 Rue de Champ Chardon,5,5,0,1,Issy-les-Moulineaux,STATION,92130,Issy-les-Moulineaux/Champ Chardon/44,station,ok,2018,4,6,2,14
5 avenue de l'Europe,0,0,0,0,Colombes,STATION,92700,Colombes/Europe/5,station,closed,2018,4,6,8,36
74 rue Vasco de Gama,2,2,0,0,Paris,STATION,75015,Paris/Vasco de Gama/74,station,ok,2018,4,9,9,26
80 bis rue du prÃ©sident Wilson,3,3,0,0,Levallois-Perret,PARKING,92300,Levallois-Perret/Wilson-Planchette/Parking,station,ok,2018,4,8,18,35
52 boulevard Arago,2,2,0,0,Paris,STATION,75013,Paris/Arago/52,station,ok,2018,4,2,3,6
69 Rue de Courcelles,0,0,0,0,Paris,STATION,75008,Paris/Courcelles/69,station,ok,2018,4,7,4,6
52 Rue de Bagneux,1,1,0,0,Sceaux,STATION,92330,Sceaux/Bagneux/52,station,ok,2018,4,3,11,4
20 Rue Frida Kahlo,0,0,0,0,Saint-Ouen,PARKING,93400,Saint-Ouen/Frida Kahlo/20,station,scheduled,2018,4,5,2,24
58 avenue de la RÃ©publique,5,5,0,0,Bagnolet,STATION,93170,Bagnolet/RÃ©publique/58,station,ok,2018,4,6,5,17
126 rue de Colombes,3,3,0,0,La Garenne-Colombes,STATION,92250,La Garenne-Colombes/Colombes/126,station,ok,2018,4,3,17,29
35 Rue de Provence,3,3,0,0,Paris,STATION,75009,Paris/Provence/35,station,ok,2018,4,9,17,36
44 avenue SecrÃ©tan,0,0,0,0,Paris,STATION,75019,Paris/SecrÃ©tan/44,station,ok,2018,4,1,14,41
36 Rue Ãtienne Marcel,0,0,0,0,Paris,STATION,75002,Paris/Ãtienne Marcel/36,station,ok,2018,4,7,6,26
16 Rue Molitor,3,3,0,0,Paris,STATION,75016,Paris/Molitor/16,station,ok,2018,4,8,21,6
11 rue Henri Say,5,5,1,0,AsniÃ¨res-sur-Seine,STATION,92600,AsniÃ¨res-sur-Seine/Henri Say/11,station,ok,2018,4,9,4,35
143 Avenue Ãmile Zola,5,5,0,0,Paris,STATION,75015,Paris/Ãmile Zola/143,station,ok,2018,4,6,9,44
30 rue Marcel Bontemps,0,0,0,0,Boulogne-Billancourt,STATION,92100,Boulogne-Billancourt/Marcel Bontemps/30,station,ok,2018,4,1,13,39
26 avenue Trudaine,0,0,0,0,Paris,SPACE,75009,Paris/Trudaine/26,full_station,ok,2018,4,6,6,33
10 Rue Sadi Carnot,5,5,0,0,AsniÃ¨res-sur-Seine,STATION,92600,AsniÃ¨res-sur-Seine/Sadi Carnot/10,station,ok,2018,4,7,5,47
49 avenue de l'Arche,3,3,0,0,Courbevoie,STATION,92400,Courbevoie/Arche/49,station,ok,2018,4,2,4,7
28 Avenue du MarÃ©chal Joffre,5,5,0,0,Nanterre,STATION,92000,Nanterre/MarÃ©chal Joffre/28,station,ok,2018,4,3,22,46
58 Rue Monge,0,0,0,0,Paris,STATION,75005,Paris/Monge/58,station,ok,2018,4,1,4,50
106 Boulevard Voltaire,4,4,0,0,Paris,SPACE,75011,Paris/Voltaire/106,full_station,ok,2018,4,5,3,23
55 avenue de SÃ©gur,0,0,0,1,Paris,STATION,75007,Paris/SÃ©gur/55,station,ok,2018,4,2,21,49
67 rue Louis Blanc,5,5,0,0,Paris,STATION,75010,Paris/Louis Blanc/67,station,ok,2018,4,5,8,28
116 rue Sadi Carnot,5,5,0,1,Drancy,STATION,93700,Drancy/Sadi Carnot/116,station,ok,2018,4,9,14,48
